score,title,year,doi,url,authors,families,databases,citation_count
8,"The Phenomenology of Machine: A Comprehensive Analysis of the Sentience of the OpenAI-o1 Model Integrating Functionalism, Consciousness Theories, Active Inference, and AI Architectures",2024,10.48550/arxiv.2410.00033,http://arxiv.org/abs/2410.00033,Victoria Violet Hoyle,artificial,OpenAlex,
8,What we think about when we think about predictive processing,2020,10.1037/abn0000632,https://pubmed.ncbi.nlm.nih.gov/32757598/,Corlett PR; Mohanty A; MacDonald AW,artificial; theory,PubMed,
7,Promoting Self-Regulation in Science Education: Metacognition as Part of a Broader Perspective on Learning,2006,10.1007/s11165-005-3917-8,https://doi.org/10.1007/s11165-005-3917-8,Gregory Schraw; Kent J. Crippen; Kendall Hartley,measurement,OpenAlex,1512
7,Interoception and emotion,2017,10.1016/j.copsyc.2017.04.020,https://doi.org/10.1016/j.copsyc.2017.04.020,Hugo Critchley; Sarah N. Garfinkel,embodiment,OpenAlex,918
7,"Interoception, contemplative practice, and health",2015,10.3389/fpsyg.2015.00763,https://doi.org/10.3389/fpsyg.2015.00763,Norman A. S. Farb; Jennifer Daubenmier; Cynthia Price; Tim Gard; Catherine E. Kerr; Barnaby D. Dunn; Anne Klein; Martin P. Paulus; Wolf Mehling,embodiment,OpenAlex,640
7,"Life-management strategies of selection, optimization and compensation: Measurement by self-report and construct validity.",2002,10.1037/0022-3514.82.4.642,https://doi.org/10.1037/0022-3514.82.4.642,Alexandra M. Freund; Paul B. Baltes,measurement,Crossref,599
7,Artificial emotions and machine consciousness,2014,10.1017/cbo9781139046855.016,https://doi.org/10.1017/cbo9781139046855.016,Matthias Scheutz,artificial,Crossref,13
7,On “Machine Consciousness”,2023,10.1142/s2705078522500187,https://doi.org/10.1142/s2705078522500187,Rodrick Wallace,artificial,Crossref,9
7,"Bayes, predictive processing, and the cognitive architecture of motor control",2021,10.1016/j.concog.2021.103218,https://doi.org/10.1016/j.concog.2021.103218,Daniel C. Burnston,theory,Crossref,8
7,What might interoceptive inference reveal about consciousness?,2021,10.31234/osf.io/9vxdg,https://doi.org/10.31234/osf.io/9vxdg,Niia Nikolova; Peter Thestrup Waade; Karl Friston; Micah Allen,theory,OpenAlex,8
7,Consciousness and Predictive Processing,2018,10.7551/mitpress/9780262036993.003.0008,https://doi.org/10.7551/mitpress/9780262036993.003.0008,Wanja Wiese,theory,Crossref,7
7,Agnosticism about artificial consciousness,2025,10.1111/mila.70010,https://doi.org/10.1111/mila.70010,Tom McClelland,artificial,OpenAlex,5
7,No-Go Theorems on Machine Consciousness,2023,10.1142/s2705078523500029,https://doi.org/10.1142/s2705078523500029,Subhash Kak,artificial,Crossref,4
7,The Attention Schema Theory of Consciousness,2018,10.4324/9781315676982-14,https://doi.org/10.4324/9781315676982-14,Michael S. Graziano,theory,Crossref,2
7,Understanding and Machine Consciousness,2020,10.1142/s2705078520500137,https://doi.org/10.1142/s2705078520500137,Ricardo Sanz; Esther Aguado,artificial,Crossref,2
7,Artificial Conscious Intelligence: Why Machine Consciousness Matters to AI,2023,10.1142/9789811276675_0008,https://doi.org/10.1142/9789811276675_0008,James A. Reggia; Garrett E. Katz; Gregory P. Davis,artificial,Crossref,1
7,BCSAI: A Pole-Theoretic Framework for Artificial Consciousness through Bio-Chemical and Semiconductor Integration,2025,10.20944/preprints202506.0425.v1,https://doi.org/10.20944/preprints202506.0425.v1,Prem Raika,artificial,OpenAlex,1
7,Integrating neural organoids and AI: increasing the risk of artificial consciousness or medical malpractice?,2026,10.3389/fnmol.2026.1767365,https://doi.org/10.3389/fnmol.2026.1767365,Alexander R. Harris; Patrick McGivern; Kyle C. A. Wedgwood; Frederic Gilbert,artificial,OpenAlex,1
7,Predictive Processing and Consciousness: Prediction Fallacy and Its Spatiotemporal Resolution,2020,10.5040/9781350099784.ch-006,https://doi.org/10.5040/9781350099784.ch-006,Steven S. Gouveia,theory,Crossref,1
7,Testing Artificial Consciousness,2019,10.1142/9789811205057_0020,https://doi.org/10.1142/9789811205057_0020,,artificial,Crossref,1
